what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272040596853
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272040600199
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272040604718
opened,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.macosx.x86",1272040604816
activated,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.macosx.x86",1272040604835
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.navigate.open.type",1272040604894
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272040607086
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1272040607121
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272041410980
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272041817620
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272041830829
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272041854396
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272041908695
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272041909333
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272041910816
closed,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.macosx.x86",1272041910825
closed,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.macosx.x86",1272041910839
closed,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.macosx.x86",1272041910855
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272041910867
closed,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.macosx.x86",1272041910874
closed,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.macosx.x86",1272041910882
error,log,,,"Unexpected Exception",1272041934465
error,log,,,"Unexpected Exception",1272041934467
error,log,,,"Unexpected Exception",1272041934470
error,log,,,"Unexpected Exception",1272041934471
error,log,,,"Unexpected Exception",1272041934473
error,log,,,"Unexpected Exception",1272041934474
error,log,,,"Unexpected Exception",1272041934476
error,log,,,"Unexpected Exception",1272041934477
